xbrl_name,formatted_name
IntangibleAssetsOtherThanGoodwill,Aset takberwujud selain goodwill
InvestmentProperties,Properti investasi
IjarahAssets,Aset ijarah
PropertyPlantAndEquipment,Aset tetap
RightOfUseAssets,Aset hak guna
ForeclosedAssets,Aset pengampunan pajak
TaxAmnestyAssets,Agunan yang diambil alih
OtherAssets,Aset lainnya
Assets,Jumlah aset
ObligationsDueImmediately,Liabilitas segera
UndistributedProfitSharing,Bagi hasil yang belum dibagikan
ShariaDeposits,Dana simpanan syariah
CurrentAccountsThirdParties,Giro pihak ketiga
CurrentAccountsRelatedParties,Giro pihak berelasi
WadiahDemandDepositsThirdParties,Giro wadiah pihak ketiga
WadiahDemandDepositsRelatedParties,Giro wadiah pihak berelasi
SavingsThirdParties,Tabungan pihak ketiga
SavingsRelatedParties,Tabungan pihak berelasi
WadiahSavingsThirdParties,Tabungan wadiah pihak ketiga
WadiahSavingsRelatedParties,Tabungan wadiah pihak berelasi
TimeDepositsThirdParties,Deposito berjangka pihak ketiga
TimeDepositsRelatedParties,Deposito berjangka pihak berelasi
WakalahDepositsThirdParties,Deposito wakalah pihak ketiga
WakalahDepositsRelatedParties,Deposito wakalah pihak berelasi
OtherBanksDepositsThirdParties,Simpanan dari bank lain pihak berelasi
OtherBankdsDepositsRelatedParties,Simpanan dari bank lain pihak ketiga
SecuritiesSoldWithRepurchaseAgreement,Efek yang dijual dengan janji untuk dibeli kembali
DerivativePayablesThirdParties,Liabilitas derivatif pihak ketiga
DerivativePayablesRelatedParties,Liabilitas derivatif pihak berelasi
InsurancePayables,Utang asuransi
CoinsuranceLiabilities,Utang koasuransi
LiabilitiesToPolicyholderInUnitLinkedContracts,Liabilitas kepada pemegang polis unit-linked
InterestPayables,Utang bunga
AcceptanceLiabilitiesThirdParties,Liabilitas akseptasi pihak berelasi
AcceptanceLiabilitiesRelatedParties,Liabilitas akseptasi pihak ketiga
AccountsPayable,Utang usaha
AdvancesAndInstallments,Uang muka dan angsuran
DividendsPayable,Utang dividen
DealerPayables,Utang dealer
BorrowingsThirdParties,Pinjaman yang diterima pihak ketiga
BorrowingsRelatedParties,Pinjaman yang diterima pihak berelasi
BorrowingsPayablesToClearingAndSettlementGuaranteeInstitution,Pinjaman yang diterima utang pada lembaga kliring dan penjaminan
BondsPayable,Utang obligasi
Sukuk,Sukuk
SubordinatedBonds,Obligasi subordinasi
MediumTermNotes,Surat utang jangka menengah
OthersSecuritiesIssued,Efek yang diterbitkan lainnya
InsuranceContractLiabilities,Liabilitas kontrak asuransi
SecuritiesCompanyPayables,Utang perusahaan efek
Provisions,Provisi
ContractLiabilities,Liabilitas atas kontrak
DeferredIncome,Pendapatan ditangguhkan
FinanceLeaseLiabilities,Liabilitas sewa pembiayaan
EstimatedLossesOnCommitmentsAndContingencies,Estimasi kerugian komitmen dan kontinjensi
AccruedExpenses,Beban akrual
TaxesPayable,Utang pajak
DeferredTaxLiabilities,Liabilitas pajak tangguhan
TaxAmnestyLiabilities,Liabilitas pengampunan pajak
OtherLiabilities,Liabilitas lainnya
PostEmploymentBenefitObligations,Kewajiban imbalan pasca kerja
SubordinatedLoansThirdParties,Pinjaman subordinasi pihak ketiga
SubordinatedLoansRelatedParties,Pinjaman subordinasi pihak berelasi
Liabilities,Jumlah liabilitas
MudharabahCurrentAccountThirdParties,Giro mudharabah pihak ketiga
MudharabahCurrentAccountRelatedParties,Giro berjangka mudharabah pihak berelasi
MudharabahSavingDepositsThirdParties,Tabungan mudharabah pihak ketiga
MudharabahSavingDepositsRelatedParties,Tabungan mudharabah pihak berelasi
MudharabahTimeDepositsThirdParties,Deposito berjangka mudharabah pihak ketiga
MudharabahTimeDepositsRelatedParties,Deposito berjangka mudharabah pihak berelasi
MudharabahCurrentAccount,Giro mudharabah
MudharabahSavingDepositsUmmat,Tabungan mudharabah (ummat)
MudharabahTimeDeposits,Deposito berjangka mudharabah
InterbankMudharabahInvestments,Investasi mudharabah antar bank
MudharabahSukuk,Sukuk mudharabah
SubordinatedMudharabahSukuk,Sukuk mudharabah subordinasi
TemporarySyirkahFunds,Jumlah dana syirkah temporer
AccumulatedTabarrusFunds,Jumlah akumulasi dana tabarru
CommonStocks,Saham biasa
PreferredStocks,Saham preferen
AdditionalPaidInCapital,Tambahan modal disetor
TreasuryStocks,Saham treasuri
AdvancesInCapitalStock,Uang muka setoran modal
StockOptions,Opsi saham
TranslationAdjustment,Penjabaran laporan keuangan
RevaluationReserves,Cadangan revaluasi
ReserveOfExchangeDifferencesOnTranslation,Cadangan selisih kurs penjabaran
ReserveForChangesInFairValueOfFairValueThroughOtherComprehensiveIncomeFinancialAssets,Cadangan perubahan nilai wajar aset keuangan nilai wajar melalui pendapatan komprehensif lainnya
ReserveOfGainsLossesFromInvestmentsInEquityInstruments,Cadangan keuntungan (kerugian) investasi pada instrumen ekuitas
ReserveOfShareBasedPayments,Cadangan pembayaran berbasis saham
ReserveOfCashFlowHedges,Cadangan lindung nilai arus kas
ReserveOfRemeasurementsOfDefinedBenefitPlans,Cadangan pengukuran kembali program imbalan pasti
OtherReserves,Cadangan lainnya
DifferenceDueToChangesOfEquityInSubsidiaryAssociates,Selisih Transaksi Perubahan Ekuitas Entitas Anak/Asosiasi
OtherComponentsOfEquity,Komponen ekuitas lainnya
GeneralAndLegalReserves,Cadangan umum dan wajib
SpecificReserves,Cadangan khusus
UnappropriatedRetainedEarnings,Saldo laba yang belum ditentukan penggunaannya
EquityAttributableToEquityOwnersOfParentEntity,Jumlah ekuitas yang diatribusikan kepada pemilik entitas induk
ProformaEquity,Proforma ekuitas
NonControllingInterests,Kepentingan non-pengendali
Equity,Jumlah ekuitas
LiabilitiesTemporarySyirkahFundsAndEquity,"Jumlah liabilitas, dana syirkah temporer dan ekuitas"
